EventID,EventTypeID,Location,Timestamp,Severity,SourceDeviceID,OperatorNote,Description,InternalNumericCode,MetaGUIDReference,TempFlag,PassCode
1,4,Building B - Server Room,29/11/2025 11:12,Low,2689,,Access attempt failed. <i>User badge not recognized</i>.   Multiple retries observed.               ,842397,e737ee05-4d8e-405a-9ea6-e508939fc023,SYE,RjkaVhTwvd
2,3,Building C - Floor 2 Hallway,30/11/2025 11:50,Critical,2872,,Camera disconnected from VMS   for over <b>10 minutes</b>. Check network connection.          ,911778,1620ed7d-f7df-4772-aa63-0dc0fa171786,SIO,nkLwTVGzyP
3,3,Building C - Lobby,01/12/2025 23:09,High,1124,,Motion detected   in restricted zone. <span>Security notified</span>.         ,714178,17c5ff7f-b8e2-45d7-8747-74ef013fbdf8,XQE,FhCtikwCDB
4,4,Building A - Parking Lot,30/11/2025 12:43,Critical,3284,,Sensor triggered due to unexpected door movement <br>   System flagged forced entry attempt.                 ,409070,b29edcfe-762f-4faa-b167-527bd2ac3eff,UYL,SvcgWFUrfH
5,1,Building A - Main Entrance,30/11/2025 4:28,Medium,1705,,Motion detected   in restricted zone. <span>Security notified</span>.               ,830214,227a46a9-72bc-4bac-8d26-f8ef77d466ed,OLB,NLmKErlftM
6,2,Building B - Server Room,29/11/2025 12:37,Medium,2769,,Camera disconnected from VMS   for over <b>10 minutes</b>. Check network connection.        ,375116,5f03bab8-0db0-415f-ab82-05be522f8c7e,MZW,txlhqlalYm
7,1,Building A - Parking Lot,30/11/2025 10:29,Critical,2592,,Sensor triggered due to unexpected door movement <br>   System flagged forced entry attempt.              ,129309,6e643442-de83-4c38-8057-e66b617e1d70,FBY,SuyvXcRwFe
8,2,Building C - Floor 2 Hallway,02/12/2025 0:09,Low,1529,,Sensor triggered due to unexpected door movement <br>   System flagged forced entry attempt.                ,652092,2b301440-c39c-4239-b8c5-70e7386467b9,RFJ,LUBAZChptG
9,3,Building A - Main Entrance,01/12/2025 15:50,Low,2611,,Smoke detected near elevator shaft.   <b>Alert raised</b> for fire response team.         ,152453,b2f6a495-4f23-4826-b50c-ae1eca206362,OGE,NbNBRIePvX
10,1,Building A - Parking Lot,02/12/2025 7:03,Low,1452,,Motion detected   in restricted zone. <span>Security notified</span>.                ,345170,3a781ba1-9bed-48ee-b951-a9122ab61926,EVG,vCKiGqOYWJ
11,2,Building A - Main Entrance,30/11/2025 23:15,High,1984,,Sensor triggered due to unexpected door movement <br>   System flagged forced entry attempt.      ,824708,ab08079f-eb04-44e5-b0f6-4ca12312ca11,UYT,FGPNNOgZRk
12,2,Building A - Parking Lot,30/11/2025 9:23,Medium,2959,,Smoke detected near elevator shaft.   <b>Alert raised</b> for fire response team.                   ,957668,1b084871-4ed9-4fb2-9c95-8561b5c2412e,SQC,qXPEHCOheO
13,4,Building A - Parking Lot,29/11/2025 1:28,High,1574,,Motion detected   in restricted zone. <span>Security notified</span>.                   ,758370,29cfc280-8f44-4c2a-997f-dd5f4a061501,HHY,FtKynQlPbr
14,1,Building B - Server Room,01/12/2025 23:22,Low,2430,,Sensor triggered due to unexpected door movement <br>   System flagged forced entry attempt.                    ,622367,ae28411b-caf1-4b10-a5da-291d258a2cd6,VNH,OlOXDOjCAa
15,3,Building B - Server Room,01/12/2025 10:37,Medium,3488,,Smoke detected near elevator shaft.   <b>Alert raised</b> for fire response team.           ,111013,82ea4deb-5879-44a6-9b9c-c535b26f89c0,VVO,BVIYtPlUxM
16,2,Building C - Floor 2 Hallway,30/11/2025 10:42,Critical,2225,,Motion detected   in restricted zone. <span>Security notified</span>.                 ,837513,05b3eaf9-e04e-4273-99c0-16b3fa789b1a,LZF,IWTijExYMT
17,2,Building A - Main Entrance,29/11/2025 21:29,Critical,2376,,Smoke detected near elevator shaft.   <b>Alert raised</b> for fire response team.            ,758577,00b909ec-daf6-4e01-9953-dc06ea808183,ITI,nWVHgMjAFX
18,1,Building C - Lobby,01/12/2025 1:11,Medium,2035,,Access attempt failed. <i>User badge not recognized</i>.   Multiple retries observed.      ,133464,a9eefb47-7627-4b8b-944a-c24c8b923f41,PPQ,NzBZNWbxec
19,4,Building C - Floor 2 Hallway,29/11/2025 23:17,Low,3710,,Sensor triggered due to unexpected door movement <br>   System flagged forced entry attempt.     ,469787,8b70b77d-02d6-43c6-b279-6888b2b12bff,ZJZ,fIQZVgYwNf
20,3,Building C - Lobby,29/11/2025 4:32,Low,1287,,Camera disconnected from VMS   for over <b>10 minutes</b>. Check network connection.        ,849156,58c944dc-43fa-49c4-901c-60229542b44a,GMK,BsdDHpacVZ
21,1,Building C - Lobby,01/12/2025 13:56,Medium,2008,,Camera disconnected from VMS   for over <b>10 minutes</b>. Check network connection.               ,594667,d943699b-37a1-461d-a2c7-bac2dd70e5cf,GPQ,XSvqycbgSz
22,1,Building B - Server Room,30/11/2025 3:22,High,1171,,Smoke detected near elevator shaft.   <b>Alert raised</b> for fire response team.      ,951044,2815e83d-d1e6-4baa-a97d-ae2d4369b93d,VVN,BOwRiFsiGf
23,1,Building A - Parking Lot,01/12/2025 4:18,Low,1965,,Camera disconnected from VMS   for over <b>10 minutes</b>. Check network connection.             ,360738,8cca28cf-48a9-47bf-ab19-0f2c14663050,BNE,rcNHqQHGBw
24,1,Building C - Lobby,01/12/2025 5:49,Medium,1137,,Access attempt failed. <i>User badge not recognized</i>.   Multiple retries observed.     ,304516,997e48f3-9fae-467b-abf9-521a7bb14fa8,NRH,omFHdtyZkz
25,4,Building A - Parking Lot,29/11/2025 4:19,Critical,2577,,Camera disconnected from VMS   for over <b>10 minutes</b>. Check network connection.        ,794030,d0d6b04e-cc0a-4919-8a27-d7bf6262fc86,DQY,EyTcurTWXW
26,4,Building A - Parking Lot,29/11/2025 4:11,Medium,3304,,Smoke detected near elevator shaft.   <b>Alert raised</b> for fire response team.                ,160758,7d51892e-3d21-495c-9891-402d17c4e071,NRD,HRwOPPkKYo
27,3,Building A - Parking Lot,28/11/2025 23:14,High,1470,,Access attempt failed. <i>User badge not recognized</i>.   Multiple retries observed.                  ,601753,69a46ff7-b325-4d27-8211-33e3593cba3c,GKJ,SCAzUJEtmo
28,2,Building A - Parking Lot,01/12/2025 6:41,Medium,2077,,Sensor triggered due to unexpected door movement <br>   System flagged forced entry attempt.         ,428726,7ba0fc24-4b49-4d0b-8237-30c2edacbac8,FCA,HTZVpwFDjg
29,4,Building B - Server Room,29/11/2025 15:35,Low,2139,,Camera disconnected from VMS   for over <b>10 minutes</b>. Check network connection.          ,793922,d383937b-a083-490b-954e-b36bdc55b464,WJN,ZuRPRsttGX
30,4,Building B - Server Room,30/11/2025 14:08,High,1333,,Smoke detected near elevator shaft.   <b>Alert raised</b> for fire response team.                    ,687902,a166bfea-b819-4d2e-88ac-7765262b6cb7,OZW,xwWnSBquBA
31,3,Building C - Lobby,02/12/2025 6:46,High,2563,,Sensor triggered due to unexpected door movement <br>   System flagged forced entry attempt.            ,747794,5f2e3be2-8d58-4825-a027-fe53a2f2aab9,EOJ,qwPrNjbNra
32,2,Building C - Lobby,02/12/2025 4:45,Low,3854,,Camera disconnected from VMS   for over <b>10 minutes</b>. Check network connection.     ,272932,27e06a13-94ed-4d7b-9530-fdb4ef8245b8,ZCL,lDzoggeDHW
33,3,Building C - Floor 2 Hallway,02/12/2025 3:24,Medium,3112,,Sensor triggered due to unexpected door movement <br>   System flagged forced entry attempt.                   ,989665,acdedcef-8937-4968-b802-70ac75514983,MPL,NRXNEkepsb
34,4,Building C - Lobby,30/11/2025 0:06,High,3617,,Sensor triggered due to unexpected door movement <br>   System flagged forced entry attempt.        ,192700,0b5ead03-dbfa-4566-86dc-de5a137de7be,ZXF,hXIJCcpZhk
35,1,Building A - Main Entrance,29/11/2025 1:18,Critical,3368,,Sensor triggered due to unexpected door movement <br>   System flagged forced entry attempt.                   ,230412,0a1a8a05-6aaf-4fb4-980c-042bab0aa584,YIG,RYtVYtmluq
36,3,Building B - Server Room,01/12/2025 15:36,Medium,1294,,Access attempt failed. <i>User badge not recognized</i>.   Multiple retries observed.                 ,807216,e3e17513-ac6f-49ca-9e6e-f842b76ff870,YAT,dXGOZKDQgz
37,1,Building A - Parking Lot,02/12/2025 3:36,Low,1397,,Access attempt failed. <i>User badge not recognized</i>.   Multiple retries observed.       ,192703,262d7205-44d5-4f7f-85cb-41bec43128e4,KWY,zXLhNQKPWS
38,3,Building C - Lobby,01/12/2025 12:35,High,2516,,Access attempt failed. <i>User badge not recognized</i>.   Multiple retries observed.                    ,552480,adc44d66-b4f1-4793-8c0b-0a4d55a02398,XHY,KAhHpvyFwo
39,1,Building C - Floor 2 Hallway,29/11/2025 8:24,Critical,2169,,Access attempt failed. <i>User badge not recognized</i>.   Multiple retries observed.        ,837024,12c4029a-0d09-4a64-b5ec-fddab167f98d,WNK,SAwMxFraAL
40,3,Building B - Server Room,01/12/2025 10:22,Critical,2636,,Access attempt failed. <i>User badge not recognized</i>.   Multiple retries observed.           ,585002,09b886e2-b159-4ca4-87e2-b9f76a003a5c,RPD,TthkbJLcUH
41,3,Building C - Lobby,01/12/2025 16:02,High,2223,,Access attempt failed. <i>User badge not recognized</i>.   Multiple retries observed.               ,258215,5664c470-d9dd-4d98-bc41-8bf4084c6d34,NQR,LQBrxIqtTv
42,1,Building A - Parking Lot,30/11/2025 2:33,Critical,2558,,Smoke detected near elevator shaft.   <b>Alert raised</b> for fire response team.        ,355718,b6287009-822f-4c48-88d7-57db460bd7cd,CYW,ODrILkNjIS
43,3,Building C - Lobby,30/11/2025 22:02,Critical,3423,,Smoke detected near elevator shaft.   <b>Alert raised</b> for fire response team.     ,247021,2a2c61aa-ff1c-4f7c-a4df-c9a2d9f912aa,AMD,UhpAZsVmef
44,3,Building A - Main Entrance,01/12/2025 18:08,Medium,2893,,Access attempt failed. <i>User badge not recognized</i>.   Multiple retries observed.       ,710353,fd31a372-61bb-4ef1-a7cc-f138a20541a7,MHO,jpkOSTMCoY
45,1,Building A - Parking Lot,01/12/2025 10:31,High,2169,,Motion detected   in restricted zone. <span>Security notified</span>.             ,779623,f001e384-f0ba-499d-8454-44cb8e58a093,GCB,GiRnrdjkLq
46,3,Building C - Floor 2 Hallway,29/11/2025 17:19,Critical,1235,,Sensor triggered due to unexpected door movement <br>   System flagged forced entry attempt.               ,625693,94719e88-2f05-4428-96c7-43bb8edcbf3d,XMZ,SlyRxPodcS
47,2,Building A - Parking Lot,02/12/2025 5:03,Low,1772,,Motion detected   in restricted zone. <span>Security notified</span>.          ,637362,4019b1bd-cc82-48b6-9b03-154f000706aa,KEQ,mTAyMSfUcE
48,3,Building C - Lobby,30/11/2025 18:27,Critical,1141,,Motion detected   in restricted zone. <span>Security notified</span>.           ,820414,8eaa2cf2-ac28-4e0d-807f-3a0f6daecffc,QAA,ueDbGFPtea
49,4,Building B - Server Room,30/11/2025 4:26,Medium,1769,,Sensor triggered due to unexpected door movement <br>   System flagged forced entry attempt.     ,421777,24dd57d0-6ec7-465f-95ae-4e05014a2768,GOE,IZeTBWiulk
50,4,Building A - Parking Lot,30/11/2025 18:56,Medium,1325,,Smoke detected near elevator shaft.   <b>Alert raised</b> for fire response team.     ,322018,9fa4432a-5c4e-49f3-8d12-0922473540b4,MKK,rdmnNMPqYk
